,Age,Gender,Quantity,Price,Discount,Product Rating,high_return_risk,payment_mode,Category_Dresses,Category_Ethnic Wear,Category_Formal Wear,Category_Jackets,Category_Jeans,Category_Shirts,Category_Shorts,Category_Skirts,Category_Sleepwear,Category_Suits,Category_Sweaters,Category_T-shirts,Category_Trousers,Category_Undergarments,State_Arunachal Pradesh,State_Assam,State_Bihar,State_Chhattisgarh,State_Goa,State_Gujarat,State_Haryana,State_Himachal Pradesh,State_Jharkhand,State_Karnataka,State_Kerala,State_Madhya Pradesh,State_Maharashtra,State_Manipur,State_Meghalaya,State_Mizoram,State_Nagaland,State_Odisha,State_Punjab,State_Rajasthan,State_Sikkim,State_Tamil Nadu,State_Telangana,State_Tripura,State_Uttar Pradesh,State_Uttarakhand,State_West Bengal,Brand_H&M,Brand_Levie's,Brand_Nike,Brand_Pantaloons,Brand_Puma,Brand_Raymond,Brand_Zudio,Total_Amount,Effective_Price
11,32,1,0.0203119683751894,0.8069918468688986,-0.7188747100223545,1.5,No,Cash on Delivery,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.016391592872636754,0.8127931071679814
12,51,0,-0.47472579490495215,-0.5105453556148867,1.3901768289402885,3.0,No,Online Payment,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.24236904977930854,-0.5034478723798977
13,43,0,-0.47472579490495215,1.465760448110791,1.3901768289402885,1.0,Yes,Online Payment,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,-0.6958342938696341,1.4453837859933836
14,70,1,-1.4648013214652351,0.3909274671371769,0.6871596492860741,1.5,No,Online Payment,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,-0.572631070459594,0.38824117132503416
15,35,1,-1.4648013214652351,0.1424445736862876,-1.4218918896765689,2.0,Yes,Cash on Delivery,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,-0.20865299977122614,0.14446998152681728
16,67,0,-1.4648013214652351,0.7260904396988416,0.6871596492860741,1.5,Yes,Cash on Delivery,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,-1.0635782355741368,0.7211010391799073
17,60,1,1.505425258215614,1.5235471675179748,0.6871596492860741,3.0,No,Cash on Delivery,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2.2935863880644147,1.5130779661449503
18,35,0,1.0103874949354725,0.6162956728251928,1.3901768289402885,2.5,Yes,Online Payment,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0.6226974410054181,0.6077280731838154
19,50,1,-1.4648013214652351,1.2866216179485221,0.6871596492860741,3.0,Yes,Online Payment,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,-1.8846450461967341,1.2777804733509883
20,19,1,0.5153497316553309,-1.2386580201453996,-1.4218918896765689,1.5,No,Cash on Delivery,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,-0.6383420782946552,-1.2562703980746754
21,46,0,-0.9697635581850936,0.7549837994024333,1.3901768289402885,4.0,No,Online Payment,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,-0.7321557756806047,0.7444881895608877
22,65,0,-0.9697635581850936,-1.0479618461016937,1.3901768289402885,4.0,No,Online Payment,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1.016275208717798,-1.033393323341053
23,56,0,1.505425258215614,0.9861306770311676,-1.4218918896765689,1.0,Yes,Cash on Delivery,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1.4845460291039838,1.0001523891494863
24,41,1,-0.47472579490495215,-1.6200503682328111,-1.4218918896765689,3.5,Yes,Cash on Delivery,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7690796988453817,-1.643085733027389
25,38,0,-0.9697635581850936,0.26379668444137305,-0.015857530368140194,2.5,No,Online Payment,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,-0.25582041134129624,0.2638385160807185
26,68,1,1.505425258215614,0.3158047319078383,-0.7188747100223545,4.5,Yes,Online Payment,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.4754204200780702,0.31807497225857767
27,50,0,0.0203119683751894,-1.0132898144573836,-0.015857530368140194,3.5,No,Cash on Delivery,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-0.02058191066615991,-1.0134504971974285
28,26,0,-0.9697635581850936,-0.10603831976460172,0.6871596492860741,1.5,Yes,Cash on Delivery,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.10283209827888891,-0.10530966721839843
29,65,0,-0.9697635581850936,0.6971970799952498,-1.4218918896765689,1.5,No,Online Payment,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,-0.6761163210524508,0.7071104687307641
30,67,1,0.0203119683751894,-0.4816519959112949,-0.015857530368140194,2.0,Yes,Cash on Delivery,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.009783300108797075,-0.48172837402281526
31,70,0,0.0203119683751894,1.090146771964098,0.6871596492860741,2.5,No,Cash on Delivery,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.02214302675644957,1.082655723229166
34,21,1,-0.9697635581850936,0.5180582498329808,-0.015857530368140194,5.0,Yes,Online Payment,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,-0.5023940117051736,0.5181404010772727
36,41,0,-0.47472579490495215,1.1132614597269714,-1.4218918896765689,2.0,No,Online Payment,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,-0.5284939314059339,1.1290908341337242
37,61,1,-1.4648013214652351,1.6333419343916236,-0.7188747100223545,4.0,No,Cash on Delivery,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-2.3925214239014334,1.6450836164861549
38,68,0,-1.4648013214652351,-0.3718572290376461,0.6871596492860741,2.0,No,Online Payment,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5446969604907447,-0.3693019762067461
41,49,1,-1.4648013214652351,-0.09448097588316501,-0.015857530368140194,4.0,Yes,Online Payment,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,0.13839585832698512,-0.0944959582326078
42,33,0,1.0103874949354725,0.8994505979203923,-0.7188747100223545,2.5,Yes,Cash on Delivery,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.9087936364509981,0.9059165207979868
43,49,1,-0.9697635581850936,-1.6605010718178397,-0.7188747100223545,2.0,Yes,Online Payment,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1.61029342777623,-1.6724379940827883
44,49,1,-1.4648013214652351,0.2753540283228098,1.3901768289402885,1.0,No,Online Payment,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,-0.4033389445580276,0.27152612042351243
45,40,1,-1.4648013214652351,0.6914184080545315,-0.015857530368140194,2.5,Yes,Cash on Delivery,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,-1.0127905978036669,0.6915280499385597
46,43,0,-0.47472579490495215,1.217277554659902,-0.015857530368140194,2.5,No,Online Payment,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,-0.5778730547558782,1.2174705848177967
48,32,1,-0.9697635581850936,1.1132614597269714,-0.7188747100223545,5.0,Yes,Online Payment,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.079600394375159,1.1212644148173743
49,49,0,0.0203119683751894,-1.0075111425166654,-0.7188747100223545,5.0,Yes,Cash on Delivery,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,-0.020464534464449447,-1.014753885320875
51,64,1,-0.47472579490495215,-1.3022234114933016,0.6871596492860741,1.0,No,Online Payment,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.6181990441649962,-1.293275057665963
52,33,0,-0.9697635581850936,-1.5738209927070643,-1.4218918896765689,4.0,Yes,Cash on Delivery,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,1.526234245833999,-1.5961990257603933
53,62,1,1.0103874949354725,-0.8283723123543962,0.6871596492860741,4.5,Yes,Cash on Delivery,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.8369770255536632,-0.8226800720780388
54,32,0,0.0203119683751894,-1.683615759580713,-0.015857530368140194,1.0,No,Online Payment,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.03419755006457392,-1.6838827394610714
55,41,1,-0.9697635581850936,1.3386296654149874,-0.015857530368140194,4.0,Yes,Cash on Delivery,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-1.2981542674249595,1.3388419390206976
56,33,1,0.5153497316553309,-0.38919324485980117,-0.7188747100223545,4.5,Yes,Cash on Delivery,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-0.20057063430056604,-0.39199105667021367
57,20,0,0.5153497316553309,-0.9728391108723552,0.6871596492860741,1.0,No,Cash on Delivery,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,-0.501352374731879,-0.966154153049967
58,66,1,0.0203119683751894,1.5235471675179748,1.3901768289402885,4.5,Yes,Cash on Delivery,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.03094624188473449,1.502367167817164
59,20,1,-0.9697635581850936,-0.6434548102514088,-0.015857530368140194,3.0,Yes,Cash on Delivery,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0.6239990263207205,-0.6435568462933497
60,25,1,1.0103874949354725,-0.8168149684729595,0.6871596492860741,3.5,Yes,Online Payment,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,-0.8252996298211905,-0.8112021456002846
61,20,0,0.0203119683751894,-0.5336600433777601,1.3901768289402885,5.0,Yes,Online Payment,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,-0.010839685924191267,-0.5262412251094097
62,35,0,-1.4648013214652351,-1.2155433323825262,-1.4218918896765689,2.5,No,Online Payment,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,1.78052947957218,-1.2328270444411777
63,39,1,1.505425258215614,-0.1464890233496302,-1.4218918896765689,1.5,No,Cash on Delivery,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,-0.22052827580187018,-0.148571938891905
64,31,0,-0.47472579490495215,0.2060099650341895,-0.015857530368140194,1.0,No,Online Payment,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,-0.097798244409197,0.2060426331269562
65,47,0,1.505425258215614,-0.8919377037022982,-0.015857530368140194,5.0,Yes,Cash on Delivery,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,-1.3427455479082742,-0.8920791429945277
66,46,1,0.5153497316553309,-0.2505051182825606,-1.4218918896765689,5.0,Yes,Cash on Delivery,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-0.12909774548520456,-0.25406703024264504
67,64,1,1.0103874949354725,0.13088722980485087,1.3901768289402885,1.0,Yes,Online Payment,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.13224682024156678,0.12906766586406201
68,40,1,-1.4648013214652351,-0.9901751266945102,1.3901768289402885,4.0,Yes,Cash on Delivery,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1.4504098340641252,-0.976409941517273
69,38,1,-0.9697635581850936,1.6622352940952154,0.6871596492860741,4.0,Yes,Cash on Delivery,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-1.6119752133426217,1.6508130838780013
71,46,1,1.505425258215614,0.7145330958174049,-0.015857530368140194,3.5,Yes,Cash on Delivery,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0756761702745188,0.7146464031200646
72,54,0,0.0203119683751894,0.21756730891562623,-0.7188747100223545,5.0,No,Online Payment,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.0044192202981692625,0.21913134527669687
73,41,1,-0.47472579490495215,0.26379668444137305,1.3901768289402885,5.0,Yes,Online Payment,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-0.12523109071472163,0.2601294440587564
74,44,1,-0.47472579490495215,-1.440911538070542,1.3901768289402885,3.0,Yes,Online Payment,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,0.6840378752982552,-1.4208803197427582
75,43,0,1.505425258215614,1.3270723215335507,0.6871596492860741,3.5,No,Cash on Delivery,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1.9978081923154398,1.3179532160231282
76,54,1,-0.47472579490495215,-0.10603831976460172,0.6871596492860741,3.5,No,Online Payment,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,0.05033912564063605,-0.10530966721839843
77,54,0,0.5153497316553309,-0.8399296562358329,-0.7188747100223545,3.5,Yes,Cash on Delivery,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,-0.43285752295049085,-0.8459676981164901
78,67,1,0.5153497316553309,-0.12915300752747516,-1.4218918896765689,2.5,No,Online Payment,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-0.06655896777176326,-0.1309894236667817
79,44,0,0.0203119683751894,-0.759028249065776,0.6871596492860741,1.5,No,Online Payment,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.015417357790899425,-0.7538125132115134
80,56,1,1.0103874949354725,-0.15804636723106694,0.6871596492860741,2.5,Yes,Cash on Delivery,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,-0.1596880730702495,-0.15696033636829257
81,64,0,-0.47472579490495215,1.3386296654149874,-1.4218918896765689,2.0,No,Cash on Delivery,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-0.63548203199748,1.3576635320603276
82,18,0,-0.47472579490495215,-0.4469799642669848,-0.015857530368140194,1.0,No,Online Payment,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.21219291884323147,-0.4470508442505579
83,20,1,-0.9697635581850936,1.2230562266006202,0.6871596492860741,4.0,No,Cash on Delivery,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-1.1860753581686516,1.21465187772334
85,65,0,0.0203119683751894,-1.6778370876399946,1.3901768289402885,3.5,No,Online Payment,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-0.03408017386286346,-1.654512185220257
86,24,0,0.5153497316553309,0.18867394921203445,-1.4218918896765689,2.0,No,Online Payment,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.0972330690967735,0.19135668879381285
87,40,1,1.0103874949354725,0.9861306770311676,-0.7188747100223545,3.5,Yes,Cash on Delivery,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.996374104444543,0.9932197210761169
88,54,1,-0.47472579490495215,0.749205127461715,1.3901768289402885,4.5,Yes,Cash on Delivery,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,-0.35566699968112864,0.7387898513785096
